"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:CC","extracellular region","GO:0005576","true","0.0010010272406200424","2.9995541040491553","4213","15","11","22097","ENSG00000015532,ENSG00000182054,ENSG00000129353,ENSG00000070081,ENSG00000125730,ENSG00000163932,ENSG00000084636,ENSG00000168542,ENSG00000159403,ENSG00000064601,ENSG00000159348"
"GO:CC","extracellular space","GO:0005615","false","0.0010521216222813498","2.9779340540676085","3303","15","10","22097","ENSG00000015532,ENSG00000182054,ENSG00000129353,ENSG00000070081,ENSG00000125730,ENSG00000163932,ENSG00000084636,ENSG00000168542,ENSG00000064601,ENSG00000159348"
"GO:CC","azurophil granule lumen","GO:0035578","true","0.0039025946323440874","2.4086465571171645","91","15","3","22097","ENSG00000125730,ENSG00000163932,ENSG00000064601"
"GO:CC","lytic vacuole","GO:0000323","false","0.014255646867904474","1.8460130712491172","762","15","5","22097","ENSG00000129353,ENSG00000125730,ENSG00000163932,ENSG00000149577,ENSG00000064601"
"GO:CC","lysosome","GO:0005764","false","0.014255646867904474","1.8460130712491172","762","15","5","22097","ENSG00000129353,ENSG00000125730,ENSG00000163932,ENSG00000149577,ENSG00000064601"
"GO:CC","primary lysosome","GO:0005766","false","0.01868856934085269","1.7284239437337778","154","15","3","22097","ENSG00000125730,ENSG00000163932,ENSG00000064601"
"GO:CC","azurophil granule","GO:0042582","false","0.01868856934085269","1.7284239437337778","154","15","3","22097","ENSG00000125730,ENSG00000163932,ENSG00000064601"
"GO:CC","vacuole","GO:0005773","false","0.024495377792216732","1.6109158580321137","855","15","5","22097","ENSG00000129353,ENSG00000125730,ENSG00000163932,ENSG00000149577,ENSG00000064601"
"GO:CC","endoplasmic reticulum","GO:0005783","true","0.02574082645502882","1.5893775134107877","2055","15","7","22097","ENSG00000070081,ENSG00000125730,ENSG00000163932,ENSG00000084636,ENSG00000168542,ENSG00000064601,ENSG00000159348"
"GO:CC","vacuolar lumen","GO:0005775","false","0.028653229128062077","1.5428264273275456","178","15","3","22097","ENSG00000125730,ENSG00000163932,ENSG00000064601"
"GO:CC","endomembrane system","GO:0012505","false","0.02948871364328918","1.5303441718295507","4777","15","10","22097","ENSG00000015532,ENSG00000129353,ENSG00000070081,ENSG00000125730,ENSG00000163932,ENSG00000141448,ENSG00000084636,ENSG00000168542,ENSG00000064601,ENSG00000159348"
"GO:CC","extracellular exosome","GO:0070062","false","0.03030980613405775","1.5184168414343642","2109","15","7","22097","ENSG00000182054,ENSG00000129353,ENSG00000070081,ENSG00000125730,ENSG00000163932,ENSG00000064601,ENSG00000159348"
"GO:CC","secretory granule","GO:0030141","false","0.0304891522828329","1.5158546505446213","896","15","5","22097","ENSG00000129353,ENSG00000125730,ENSG00000163932,ENSG00000064601,ENSG00000159348"
"GO:CC","extracellular vesicle","GO:1903561","false","0.03254380721958462","1.4875316413888204","2133","15","7","22097","ENSG00000182054,ENSG00000129353,ENSG00000070081,ENSG00000125730,ENSG00000163932,ENSG00000064601,ENSG00000159348"
"GO:CC","extracellular membrane-bounded organelle","GO:0065010","false","0.03263974353135439","1.4862532623984206","2134","15","7","22097","ENSG00000182054,ENSG00000129353,ENSG00000070081,ENSG00000125730,ENSG00000163932,ENSG00000064601,ENSG00000159348"
"GO:CC","extracellular organelle","GO:0043230","false","0.03263974353135439","1.4862532623984206","2134","15","7","22097","ENSG00000182054,ENSG00000129353,ENSG00000070081,ENSG00000125730,ENSG00000163932,ENSG00000064601,ENSG00000159348"
"KEGG","2-Oxocarboxylic acid metabolism","KEGG:01210","false","0.04622338541018133","1.335138249875556","33","11","2","8484","ENSG00000182054,ENSG00000105552"
"WP","Complement activation","WP:WP545","false","0.04560200008286757","1.3410161089604837","22","11","2","8286","ENSG00000125730,ENSG00000159403"
"CORUM","Isocitrate dehydrogenase [NADP], mitochondrial","CORUM:6948","false","0.049987986220643356","1.3011343585640398","1","3","1","3383","ENSG00000182054"
"HP","Intestinal perforation","HP:0031368","false","0.0331968551388378","1.4789030566736898","5","9","2","4958","ENSG00000141448,ENSG00000159403"
